Genus	Gene	ARO	BAL	DEN	MIN	NYC	SAC	SAN
Enterobacter	ACT-1	3001821	0	0	0	1	0	0
Enterobacter	ACT-21	3001842	0	0	0	1	0	0
Enterobacter	ACT-73	3006267	0	0	0	0	1	0
Enterobacter	ACT-74	3006268	0	0	0	1	0	0
Enterobacter	ACT-8	3001831	0	0	0	1	0	0
Enterobacter	AcrF	3000502	1	0	0	3	0	0
Enterobacter	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	0	0	0	14	2	0
Enterobacter	CRP	3000518	0	0	0	5	0	0
Enterobacter	Clostridioides difficile gyrA conferring resistance to fluoroquinolones	3003995	0	0	0	5	1	0
Enterobacter	Clostridioides difficile gyrB conferring resistance to fluoroquinolones	3004562	0	0	0	1	0	0
Enterobacter	Enterobacter cloacae acrA	3004042	0	0	0	2	0	0
Enterobacter	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	3003369	1	0	0	3	0	0
Enterobacter	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	3003890	0	0	0	5	0	0
Enterobacter	Escherichia coli marR mutant conferring antibiotic resistance	3003378	0	0	0	4	0	0
Enterobacter	Escherichia coli mdfA	3001328	0	0	0	9	0	0
Enterobacter	Escherichia coli soxS with mutation conferring antibiotic resistance	3003511	0	0	0	5	0	0
Enterobacter	FosA2	3002804	0	0	0	2	0	0
Enterobacter	H-NS	3000676	0	0	0	2	0	0
Enterobacter	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	3004446	0	0	0	7	0	0
Enterobacter	Klebsiella pneumoniae KpnE	3004580	0	0	0	2	0	0
Enterobacter	Klebsiella pneumoniae KpnF	3004583	0	0	0	3	0	0
Enterobacter	Klebsiella pneumoniae KpnH	3004597	0	0	0	1	0	0
Enterobacter	MIR-2	3002168	0	0	0	1	0	0
Enterobacter	Mycobacterium leprae gyrA conferring resistance to fluoroquinolones	3003298	0	0	0	1	0	0
Enterobacter	Mycobacterium tuberculosis rpoB mutants conferring resistance to rifampicin	3003283	0	0	0	5	0	0
Enterobacter	Neisseria gonorrhoeae PBP2 conferring resistance to beta-lactam antibiotics	3004832	0	0	0	2	0	0
Enterobacter	PmrF	3003578	0	0	0	2	0	0
Enterobacter	Staphylococcus aureus GlpT with mutation conferring resistance to fosfomycin	3003901	0	0	0	1	0	0
Enterobacter	Streptococcus pneumoniae PBP2x conferring resistance to amoxicillin	3003043	0	0	0	1	0	0
Enterobacter	Streptomyces rimosus otr(A)	3002891	0	0	0	1	0	0
Enterobacter	acrB	3000216	1	0	0	12	0	0
Enterobacter	acrD	3000491	0	0	0	7	0	0
Enterobacter	adeF	3000777	0	0	0	4	0	0
Enterobacter	bacA	3002986	0	0	0	6	0	0
Enterobacter	baeR	3000828	0	0	0	4	0	0
Enterobacter	cpxA	3000830	0	0	0	4	0	0
Enterobacter	emrB	3000074	0	0	0	7	0	0
Enterobacter	emrR	3000516	1	0	0	6	0	0
Enterobacter	marA	3000263	0	0	0	3	0	0
Enterobacter	mdtB	3000793	0	0	0	2	0	0
Enterobacter	mdtC	3000794	0	0	0	11	1	0
Enterobacter	mdtH	3001216	0	0	0	2	0	0
Enterobacter	mecD	3004185	0	0	0	1	0	0
Enterobacter	msbA	3003950	0	0	0	7	0	0
Enterobacter	oqxA	3003922	0	0	0	8	0	0
Enterobacter	oqxB	3003923	0	0	0	22	0	0
Enterobacter	qacJ	3007014	0	0	0	1	0	0
Enterobacter	qnrE1	3004636	0	0	0	1	0	0
Enterobacter	ramA	3000823	0	0	0	2	0	0
Enterobacter	rpoB2	3000501	0	1	0	27	0	0
Enterobacter	rsmA	3005069	0	0	0	3	0	0
Enterobacter	sul4	3004361	0	0	0	3	0	0
Enterobacter	tet(M)	3000186	0	1	0	3	0	0
Enterobacter	tetB(P)	3000195	0	0	0	1	0	1
Escherichia	AcrF	3000502	0	0	0	2	0	0
Escherichia	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	0	0	0	12	0	0
Escherichia	Clostridioides difficile gyrB conferring resistance to fluoroquinolones	3004562	0	0	0	1	0	0
Escherichia	EC-15	3006876	0	0	0	1	0	0
Escherichia	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	3003369	0	0	1	1	0	0
Escherichia	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	3003889	0	0	0	1	0	0
Escherichia	Escherichia coli acrA	3004043	0	0	0	1	0	0
Escherichia	Escherichia coli mdfA	3001328	0	0	0	2	0	0
Escherichia	Escherichia coli parE conferring resistance to fluoroquinolones	3003316	0	0	0	0	0	1
Escherichia	Klebsiella pneumoniae OmpK37	3004122	0	0	0	0	0	1
Escherichia	Morganella morganii gyrB conferring resistance to fluoroquinolones	3003306	0	1	0	0	0	0
Escherichia	Mycobacterium tuberculosis rpoB mutants conferring resistance to rifampicin	3003283	0	0	0	2	0	0
Escherichia	NmcR	3003665	0	0	0	1	0	0
Escherichia	PmrF	3003578	0	0	0	1	0	0
Escherichia	Streptomyces rimosus otr(A)	3002891	0	0	0	1	0	0
Escherichia	TolC	3000237	0	0	0	2	0	0
Escherichia	YojI	3003952	0	0	0	1	0	0
Escherichia	aadA9	3002609	0	0	0	1	0	0
Escherichia	acrB	3000216	0	0	0	1	0	0
Escherichia	acrD	3000491	0	0	0	3	0	0
Escherichia	bacA	3002986	0	0	0	4	0	0
Escherichia	baeS	3000829	0	0	0	3	0	0
Escherichia	ceoB	3003010	0	0	0	1	0	0
Escherichia	cpxA	3000830	1	0	0	2	0	0
Escherichia	efrB	3003949	0	0	0	1	0	0
Escherichia	emrA	3000027	0	0	0	1	0	0
Escherichia	emrB	3000074	0	0	0	1	0	0
Escherichia	emrY	3000254	0	0	0	2	0	0
Escherichia	eptA	3003576	0	0	0	1	0	0
Escherichia	eptB	3005047	0	0	0	0	0	1
Escherichia	evgS	3000833	0	0	0	1	0	1
Escherichia	facT	3001313	0	0	0	0	1	0
Escherichia	gadX	3000508	0	0	0	1	0	0
Escherichia	kdpE	3003841	0	0	0	1	0	0
Escherichia	mdtA	3000792	0	0	0	2	0	1
Escherichia	mdtB	3000793	0	0	0	2	0	0
Escherichia	mdtC	3000794	0	0	0	1	0	0
Escherichia	mdtE	3000795	0	0	0	1	0	0
Escherichia	mdtF	3000796	0	0	0	2	0	0
Escherichia	mdtH	3001216	0	0	0	1	0	0
Escherichia	mdtN	3003548	0	0	0	2	0	1
Escherichia	mdtO	3003549	0	0	0	3	0	1
Escherichia	mdtP	3003550	0	0	0	1	0	1
Escherichia	novA	3002522	0	0	0	1	0	0
Escherichia	qacE	3005009	0	0	0	1	0	0
Escherichia	rpoB2	3000501	1	0	0	5	0	0
Escherichia	sul4	3004361	0	0	0	1	0	1
Escherichia	tet(M)	3000186	0	0	0	1	1	0
Escherichia	tet(W/32/O)	3007124	1	0	0	0	0	0
Escherichia	tetB(P)	3000195	0	0	0	1	0	0
Escherichia	tetR	3003479	0	0	0	1	0	0
Escherichia	tlrC	3002827	0	0	0	1	0	0
Escherichia	vanS gene in vanN cluster	3002940	0	0	0	1	0	0
Klebsiella	AcrF	3000502	1	0	0	4	0	0
Klebsiella	AcrS	3000656	0	0	0	1	0	0
Klebsiella	ArnT	3005053	0	5	0	7	0	0
