Genus	Gene	ARO	BAL_En	BAL_Kl	DEN_Es	DEN_Kl	NYC_En	NYC_Es	NYC_Kl	SAC_En	SAN_En	SAN_Es
Enterobacter	ACT-1	3001821	0	0	0	0	1	0	0	0	0	0
Enterobacter	ACT-21	3001842	0	0	0	0	1	0	0	0	0	0
Enterobacter	ACT-73	3006267	0	0	0	0	0	0	0	1	0	0
Enterobacter	ACT-74	3006268	0	0	0	0	1	0	0	0	0	0
Enterobacter	ACT-8	3001831	0	0	0	0	1	0	0	0	0	0
Enterobacter	AcrF	3000502	1	0	0	0	1	0	0	0	0	0
Enterobacter	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	0	0	0	0	1	1	1	0	0	0
Enterobacter	CRP	3000518	0	0	0	0	1	0	0	0	0	0
Enterobacter	Clostridioides difficile gyrA conferring resistance to fluoroquinolones	3003995	0	0	0	0	1	0	0	0	0	0
Enterobacter	Clostridioides difficile gyrB conferring resistance to fluoroquinolones	3004562	0	0	0	0	1	0	0	0	0	0
Enterobacter	Enterobacter cloacae acrA	3004042	0	0	0	0	1	0	0	0	0	0
Enterobacter	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	3003369	0	1	0	0	1	0	0	0	0	0
Enterobacter	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	3003890	0	0	0	0	1	0	0	0	0	0
Enterobacter	Escherichia coli marR mutant conferring antibiotic resistance	3003378	0	0	0	0	1	0	0	0	0	0
Enterobacter	Escherichia coli mdfA	3001328	0	0	0	0	1	0	0	0	0	0
Enterobacter	Escherichia coli soxS with mutation conferring antibiotic resistance	3003511	0	0	0	0	1	0	0	0	0	0
Enterobacter	FosA2	3002804	0	0	0	0	1	0	0	0	0	0
Enterobacter	H-NS	3000676	0	0	0	0	1	0	0	0	0	0
Enterobacter	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	3004446	0	0	0	0	1	0	0	0	0	0
Enterobacter	Klebsiella pneumoniae KpnE	3004580	0	0	0	0	1	0	0	0	0	0
Enterobacter	Klebsiella pneumoniae KpnF	3004583	0	0	0	0	1	0	0	0	0	0
Enterobacter	Klebsiella pneumoniae KpnH	3004597	0	0	0	0	1	0	0	0	0	0
Enterobacter	MIR-2	3002168	0	0	0	0	1	0	0	0	0	0
Enterobacter	Mycobacterium tuberculosis rpoB mutants conferring resistance to rifampicin	3003283	0	0	0	0	1	0	0	0	0	0
Enterobacter	Neisseria gonorrhoeae PBP2 conferring resistance to beta-lactam antibiotics	3004832	0	0	0	0	1	0	0	0	0	0
Enterobacter	PmrF	3003578	0	0	0	0	1	0	0	0	0	0
Enterobacter	Staphylococcus aureus GlpT with mutation conferring resistance to fosfomycin	3003901	0	0	0	0	1	0	0	0	0	0
Enterobacter	Streptococcus pneumoniae PBP2x conferring resistance to amoxicillin	3003043	0	0	0	0	1	0	0	0	0	0
Enterobacter	acrB	3000216	1	0	0	0	1	0	0	0	0	0
Enterobacter	acrD	3000491	0	0	0	0	1	0	0	0	0	0
Enterobacter	adeF	3000777	0	0	0	0	1	0	0	0	0	0
Enterobacter	bacA	3002986	0	0	0	0	1	0	0	0	0	0
Enterobacter	baeR	3000828	0	0	0	0	1	0	0	0	0	0
Enterobacter	cpxA	3000830	0	0	0	0	1	0	0	0	0	0
Enterobacter	emrB	3000074	0	0	0	0	1	0	0	0	0	0
Enterobacter	emrR	3000516	0	1	0	0	1	0	0	0	0	0
Enterobacter	marA	3000263	0	0	0	0	1	0	0	0	0	0
Enterobacter	mdtB	3000793	0	0	0	0	1	0	0	0	0	0
Enterobacter	mdtC	3000794	0	0	0	0	1	0	0	1	0	0
Enterobacter	mdtH	3001216	0	0	0	0	1	0	0	0	0	0
